idno,formid,form_model,title,nation,year_start,year_end,repositoryid,repo_title,created,changed,varcount,total_views,authoring_entity,total_downloads,rank,type,id,url,link_da,thumbnail
UNHCR_KEN_2015_SEA_v2.1,3,licensed,Socio-economic assessment of refugees in Kenya's Kakuma camp 2015,Kenya,2015,2015,EHA,East and Horn of Africa,2019-03-07T15:52:51+00:00,2019-12-05T13:20:58+00:00,262,44791,UNHCR,1418,1,survey,16,https://microdata.unhcr.org/index.php/catalog/16,,
UNHCR_ETH_SENS_2018_v2.1,3,licensed,Standardized Expanded Nutrition Survey (SENS) in Melkadida Refugee Camps - 2018,Ethiopia,2018,2018,EHA,East and Horn of Africa,2019-07-15T13:21:23+00:00,2019-12-05T13:38:14+00:00,105,22029,UNHCR,840,1,survey,114,https://microdata.unhcr.org/index.php/catalog/114,,
UNHCR-BFA-2016-SEA-v2.1,3,licensed,Socio-economic assessment of Malian refugees - 2016,Burkina Faso,2016,2016,WA,West and Central Africa,2019-07-31T10:26:31+00:00,2022-12-19T13:46:07+00:00,475,78017,UNHCR,584638,1,survey,131,https://microdata.unhcr.org/index.php/catalog/131,,
UNHCR_CMR_2016_SEA_v2-1,3,licensed,"Socio-economic assessement of Central African refugees in Cameroon's Adamanou, Eastern and Northern regions 2016",Cameroon,2016,2016,WA,West and Central Africa,2019-07-31T10:37:00+00:00,2022-12-14T10:44:29+00:00,503,60243,UNHCR,2577,1,survey,132,https://microdata.unhcr.org/index.php/catalog/132,,
UNHCR_BGD_MSNA_2018_v2.1,3,licensed,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – July 2018",Bangladesh,2018,2018,ASIA,Asia Pacific,2019-10-18T16:57:11+00:00,2019-10-18T17:43:48+00:00,294,103099,UNHCR,2124,1,survey,136,https://microdata.unhcr.org/index.php/catalog/136,,
UNHCR_BGD_MSNA_2019_v2.1,3,licensed,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response - January 2019",Bangladesh,2019,2019,ASIA,Asia Pacific,2019-10-18T17:28:51+00:00,2019-10-18T17:36:25+00:00,321,54792,UNHCR,1388,1,survey,137,https://microdata.unhcr.org/index.php/catalog/137,,
UNHCR_BGD_KAP_2018_v2.1,3,licensed,"WASH KAP Survey Rohingya Cox’s Bazar, 2018",Bangladesh,2018,2018,ASIA,Asia Pacific,2019-10-29T10:33:14+00:00,2019-10-29T10:47:28+00:00,380,45428,UNHCR,1155,1,survey,148,https://microdata.unhcr.org/index.php/catalog/148,,
UNHCR_ETH_KAP_2017_GAMBELLA_KULE_v2.1,3,licensed,KPC (KAP) Survey Report Gambella Region Kule - 2017,Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T10:50:46+00:00,2019-10-29T10:53:08+00:00,145,23055,UNHCR,1289,1,survey,149,https://microdata.unhcr.org/index.php/catalog/149,,
UNHCR_ETH_KAP_2017_GAMBELLA_PUGNIDO_v2.1,3,licensed,KPC (KAP) Survey Report Gambella Region Pugnido - 2017,Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T10:55:57+00:00,2019-10-29T10:59:30+00:00,145,21469,UNHCR,1098,1,survey,150,https://microdata.unhcr.org/index.php/catalog/150,,
UNHCR_ETH_KAP_2017_GAMBELLA_TIERKIDI_v2.1,3,licensed,KPC (KAP) Survey Report Gambella Region Tierkidi - 2017,Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T11:10:28+00:00,2019-10-29T11:10:43+00:00,145,19622,UNHCR,1337,1,survey,152,https://microdata.unhcr.org/index.php/catalog/152,,
UNHCR_ETH_KAP_2017_SHIRE_ADIHARUSH_v2.1,3,licensed,"KPC (KAP) Survey Report Shire, Adi-Harush camp - 2017",Ethiopia,2017,2017,EHA,East and Horn of Africa,2019-10-29T11:15:22+00:00,2019-10-29T11:15:41+00:00,129,18720,UNHCR,1171,1,survey,153,https://microdata.unhcr.org/index.php/catalog/153,,
